n,Runtime
17900,0.101831188
17950,0.103704148
18000,0.101664396
18050,0.102358192
18100,0.102712944
18150,0.104643296
18200,0.101994592
18250,0.104270892
18300,0.105349456
18350,0.10487604
18400,0.105704604
18450,0.106268864
18500,0.106226492
18550,0.107573364
18600,0.105672516
18650,0.106013128
18700,0.108871788
18750,0.106441332
18800,0.108657784
18850,0.106904232
18900,0.109292536
18950,0.109271208
19000,0.108421536
19050,0.107707456
19100,0.110605728
19150,0.111354484
19200,0.10882072
19250,0.110508564
19300,0.112167748
19350,0.11027966
19400,0.11124052
19450,0.113261104
19500,0.112562076
19550,0.113194584
19600,0.11085592
19650,0.111540648
19700,0.114528252
19750,0.11276082
19800,0.114156868
19850,0.115592864
19900,0.116920584
19950,0.116407076
20000,0.115250768
20050,0.115248736
20100,0.117516168
20150,0.116608156
20200,0.116936216
20250,0.118019048
20300,0.117419824
20350,0.118073248
20400,0.118392024
20450,0.118699784
20500,0.12090632
20550,0.12075522
20600,0.121436924
20650,0.1202498
20700,0.120619076
20750,0.121222128
20800,0.121474548
20850,0.120974648
20900,0.1209214
20950,0.120354848
21000,0.12207174
21050,0.120208272
21100,0.121654768
21150,0.1236791
21200,0.120894544
21250,0.120724008
21300,0.122781884
21350,0.123982664
21400,0.124789768
21450,0.122792484
21500,0.124085304
21550,0.124758524
21600,0.12610654
21650,0.1254503
21700,0.126772928
21750,0.129509472
21800,0.12681186
21850,0.127164304
21900,0.124961616
21950,0.126079868
22000,0.1272328
22050,0.126606124
22100,0.12640866
22150,0.129378008
22200,0.129564688
22250,0.128050532
22300,0.130375684
22350,0.128509708
22400,0.128898184
22450,0.131441944
22500,0.128647268
22550,0.12940742
22600,0.13010842
22650,0.130391276
22700,0.134633764
22750,0.130781852
22800,0.134466952
22850,0.132425416
22900,0.13454162
22950,0.134498644
23000,0.134713616
23050,0.132168116
23100,0.134897488
23150,0.135622604
23200,0.133224748
23250,0.135982768
23300,0.133261572
23350,0.13674208
23400,0.13608362
23450,0.138123008
23500,0.13953
23550,0.136587124
23600,0.137169308
23650,0.136950144
23700,0.141108536
23750,0.137584524
23800,0.139198236
23850,0.13739478
23900,0.141698156
23950,0.140468504
24000,0.140757844
24050,0.140129496
24100,0.143366556
24150,0.14689234
24200,0.139040164
